booking_id,customer_id,booking_date,checkin_date,checkout_date,stay_nights,room_type_id,channel_id,segment_id,promotion_id,adults,children,lead_time_days,booking_status,cancellation_date,cancellation_reason,listed_room_revenue,gross_room_revenue,commission_amount,promotion_cost,breakfast_cost,housekeeping_cost,utilities_cost,room_amenity_cost,net_room_revenue,contribution_profit,payment_currency,created_at,updated_at
BK100000,C513136,2025-05-05,2025-06-01,2025-06-03,2,1,1,3,2,2,0,27,CONFIRMED,,,3120000,2740000,493200,266000,460000,366400,370600,216000,2246800,567800,VND,2025-05-05 10:54:00,2025-05-05 10:49:00
BK100001,C551998,2025-05-02,2025-06-01,2025-06-05,4,1,2,7,4,2,0,30,CONFIRMED,,,6030000,5430000,1086000,600000,920000,732800,686200,432000,4344000,973000,VND,2025-05-02 10:04:00,2025-05-02 10:39:00
BK100002,C571084,2025-04-14,2025-06-01,2025-06-03,2,1,2,2,2,2,0,48,CONFIRMED,,,3000000,2640000,528000,252000,460000,366400,370600,216000,2112000,447000,VND,2025-04-14 10:42:00,2025-04-14 10:33:00
BK100003,C509809,2025-05-03,2025-06-01,2025-06-03,2,1,3,3,2,2,0,29,CONFIRMED,,,3140000,2760000,414000,266000,460000,366400,370600,216000,2346000,667000,VND,2025-05-03 10:30:00,2025-05-03 10:28:00
BK100004,C589187,2025-05-17,2025-06-01,2025-06-04,3,1,3,2,4,2,0,15,CONFIRMED,,,4590000,4140000,621000,450000,690000,549600,528400,324000,3519000,977000,VND,2025-05-17 10:16:00,2025-05-17 10:05:00
BK100005,C510156,2025-05-14,2025-06-01,2025-06-05,4,1,2,5,2,2,0,18,CONFIRMED,,,6130000,5400000,1080000,511000,920000,732800,686200,432000,4320000,1038000,VND,2025-05-14 10:08:00,2025-05-14 10:23:00
BK100006,C583038,2025-04-02,2025-06-01,2025-06-04,3,1,2,6,0,2,0,60,CONFIRMED,,,4460000,4460000,892000,0,690000,549600,528400,324000,3568000,1476000,VND,2025-04-02 10:42:00,2025-04-02 10:00:00
BK100007,C545929,2025-04-01,2025-06-01,2025-06-06,5,1,4,9,2,2,0,61,CONFIRMED,,,7150000,6300000,1071000,595000,1150000,916000,844000,540000,5229000,1184000,VND,2025-04-01 10:15:00,2025-04-01 10:56:00
BK100008,C576295,2025-05-04,2025-06-01,2025-06-03,2,1,5,5,0,2,0,28,CONFIRMED,,,3030000,3030000,0,0,460000,366400,370600,216000,3030000,1617000,VND,2025-05-04 10:19:00,2025-05-04 10:22:00
BK100009,C569138,2025-04-03,2025-06-01,2025-06-05,4,1,1,7,0,2,0,59,CONFIRMED,,,5850000,5850000,1053000,0,920000,732800,686200,432000,4797000,2026000,VND,2025-04-03 10:00:00,2025-04-03 10:34:00
BK100010,C555743,2025-05-20,2025-06-01,2025-06-02,1,1,5,1,1,2,0,12,CONFIRMED,,,1570000,1440000,0,130000,230000,183200,212800,108000,1440000,576000,VND,2025-05-20 10:25:00,2025-05-20 10:25:00
BK100011,C523590,2025-03-05,2025-06-01,2025-06-04,3,1,7,6,4,2,0,88,CONFIRMED,,,3920000,3530000,353000,390000,0,549600,528400,324000,3177000,1385000,VND,2025-03-05 10:02:00,2025-03-05 10:20:00
BK100012,C546769,2025-05-13,2025-06-01,2025-06-02,1,1,3,1,0,2,0,19,CONFIRMED,,,1700000,1700000,255000,0,230000,183200,212800,108000,1445000,711000,VND,2025-05-13 10:14:00,2025-05-13 10:28:00
BK100013,C579812,2025-04-18,2025-06-01,2025-06-03,2,1,3,2,0,2,0,44,CONFIRMED,,,3090000,3090000,463500,0,460000,366400,370600,216000,2626500,1213500,VND,2025-04-18 10:13:00,2025-04-18 10:38:00
BK100014,C519298,2025-04-22,2025-06-01,2025-06-03,2,1,2,1,0,2,0,40,CONFIRMED,,,3150000,3150000,630000,0,460000,366400,370600,216000,2520000,1107000,VND,2025-04-22 10:39:00,2025-04-22 10:51:00
BK100015,C560518,2025-04-26,2025-06-01,2025-06-04,3,1,5,2,0,2,0,36,CONFIRMED,,,4420000,4420000,0,0,690000,549600,528400,324000,4420000,2328000,VND,2025-04-26 10:24:00,2025-04-26 10:01:00
BK100016,C548484,2025-04-03,2025-06-01,2025-06-03,2,1,3,6,2,2,0,59,CONFIRMED,,,2970000,2610000,391500,252000,460000,366400,370600,216000,2218500,553500,VND,2025-04-03 10:04:00,2025-04-03 10:57:00
BK100017,C560131,2025-04-15,2025-06-01,2025-06-06,5,1,2,3,0,2,0,47,CONFIRMED,,,7150000,7150000,1430000,0,1150000,916000,844000,540000,5720000,2270000,VND,2025-04-15 10:59:00,2025-04-15 10:41:00
BK100018,C526526,2025-04-28,2025-06-01,2025-06-04,3,1,1,1,0,2,0,34,CONFIRMED,,,4570000,4570000,822600,0,690000,549600,528400,324000,3747400,1655400,VND,2025-04-28 10:43:00,2025-04-28 10:25:00
BK100019,C566587,2025-04-27,2025-06-01,2025-06-05,4,1,7,7,0,2,0,35,CONFIRMED,,,5370000,5370000,537000,0,0,732800,686200,432000,4833000,2982000,VND,2025-04-27 10:43:00,2025-04-27 10:16:00
BK100020,C575411,2025-03-15,2025-06-01,2025-06-04,3,1,2,6,2,2,0,78,CONFIRMED,,,4360000,3830000,766000,371000,690000,549600,528400,324000,3064000,601000,VND,2025-03-15 10:52:00,2025-03-15 10:45:00
BK100021,C570828,2025-05-16,2025-06-01,2025-06-02,1,1,1,1,0,2,0,16,CONFIRMED,,,1610000,1610000,289800,0,230000,183200,212800,108000,1320200,586200,VND,2025-05-16 10:53:00,2025-05-16 10:17:00
BK100022,C549843,2025-05-13,2025-06-01,2025-06-03,2,1,4,1,2,2,0,19,CONFIRMED,,,3150000,2770000,470900,266000,460000,366400,370600,216000,2299100,620100,VND,2025-05-13 10:27:00,2025-05-13 10:37:00
