review_id,booking_id,review_date,rating_score,sentiment_label,complaint_category,review_source,created_at
RV000001,BK100001,2025-06-09,4.5,Positive,,Booking.com,2025-06-09 12:00:00
RV000002,BK100005,2025-06-11,4.4,Neutral,,Booking.com,2025-06-11 12:00:00
RV000003,BK100007,2025-06-11,4.3,Neutral,Breakfast queue,Other OTA,2025-06-11 12:00:00
RV000004,BK100009,2025-06-12,4.8,Positive,,Agoda,2025-06-12 12:00:00
RV000005,BK100011,2025-06-08,4.0,Neutral,Elevator wait,Post-stay survey,2025-06-08 12:00:00
RV000006,BK100012,2025-06-07,3.9,Negative,Noise,Traveloka,2025-06-07 12:00:00
RV000007,BK100013,2025-06-06,4.2,Neutral,Breakfast queue,Traveloka,2025-06-06 12:00:00
RV000008,BK100014,2025-06-06,4.4,Neutral,Breakfast queue,Booking.com,2025-06-06 12:00:00
RV000009,BK100015,2025-06-07,3.8,Negative,Check-in waiting time,Post-stay survey,2025-06-07 12:00:00
RV000010,BK100017,2025-06-11,4.1,Neutral,,Booking.com,2025-06-11 12:00:00
RV000011,BK100018,2025-06-06,4.4,Neutral,Breakfast queue,Agoda,2025-06-06 12:00:00
RV000012,BK100019,2025-06-06,4.9,Positive,,Post-stay survey,2025-06-06 12:00:00
RV000013,BK100028,2025-06-10,4.4,Neutral,Room view expectation,Booking.com,2025-06-10 12:00:00
RV000014,BK100029,2025-06-09,3.9,Negative,Check-in waiting time,Traveloka,2025-06-09 12:00:00
RV000015,BK100030,2025-06-07,3.8,Negative,OTA price mismatch,Booking.com,2025-06-07 12:00:00
RV000016,BK100031,2025-06-10,3.9,Negative,Check-in waiting time,Agoda,2025-06-10 12:00:00
RV000017,BK100032,2025-06-04,4.6,Positive,,Post-stay survey,2025-06-04 12:00:00
RV000018,BK100034,2025-06-05,4.8,Positive,,Traveloka,2025-06-05 12:00:00
RV000019,BK100035,2025-06-10,4.2,Neutral,,Post-stay survey,2025-06-10 12:00:00
RV000020,BK100036,2025-06-11,5.0,Positive,,Other OTA,2025-06-11 12:00:00
RV000021,BK100037,2025-06-07,4.1,Neutral,,Other OTA,2025-06-07 12:00:00
RV000022,BK100038,2025-06-07,3.9,Negative,OTA price mismatch,Booking.com,2025-06-07 12:00:00
RV000023,BK100039,2025-06-09,4.4,Neutral,Breakfast queue,Traveloka,2025-06-09 12:00:00
RV000024,BK100041,2025-06-10,4.4,Neutral,,Agoda,2025-06-10 12:00:00
RV000025,BK100043,2025-06-12,4.2,Neutral,Room view expectation,Traveloka,2025-06-12 12:00:00
RV000026,BK100046,2025-06-06,4.8,Positive,,Booking.com,2025-06-06 12:00:00
RV000027,BK100048,2025-06-10,4.8,Positive,,Other OTA,2025-06-10 12:00:00
RV000028,BK100049,2025-06-10,4.1,Neutral,Breakfast queue,Traveloka,2025-06-10 12:00:00
RV000029,BK100053,2025-06-10,4.4,Neutral,,Post-stay survey,2025-06-10 12:00:00
RV000030,BK100054,2025-06-10,4.6,Positive,,Booking.com,2025-06-10 12:00:00
RV000031,BK100060,2025-06-09,4.1,Neutral,Room view expectation,Booking.com,2025-06-09 12:00:00
RV000032,BK100061,2025-06-11,4.9,Positive,,Post-stay survey,2025-06-11 12:00:00
RV000033,BK100062,2025-06-05,4.4,Neutral,,Post-stay survey,2025-06-05 12:00:00
RV000034,BK100065,2025-06-04,4.1,Neutral,Elevator wait,Traveloka,2025-06-04 12:00:00
RV000035,BK100067,2025-06-03,4.9,Positive,,Agoda,2025-06-03 12:00:00
RV000036,BK100070,2025-06-08,4.6,Positive,,Post-stay survey,2025-06-08 12:00:00
RV000037,BK100071,2025-06-07,4.9,Positive,,Post-stay survey,2025-06-07 12:00:00
RV000038,BK100072,2025-06-04,4.6,Positive,,Traveloka,2025-06-04 12:00:00
RV000039,BK100074,2025-06-11,4.8,Positive,,Booking.com,2025-06-11 12:00:00
RV000040,BK100076,2025-06-08,3.8,Negative,OTA price mismatch,Agoda,2025-06-08 12:00:00
RV000041,BK100077,2025-06-10,4.5,Positive,,Agoda,2025-06-10 12:00:00
RV000042,BK100080,2025-06-07,4.7,Positive,,Post-stay survey,2025-06-07 12:00:00
RV000043,BK100081,2025-06-07,3.6,Negative,Noise,Traveloka,2025-06-07 12:00:00
RV000044,BK100082,2025-06-03,3.9,Negative,Air-conditioner issue,Booking.com,2025-06-03 12:00:00
RV000045,BK100083,2025-06-07,4.7,Positive,,Agoda,2025-06-07 12:00:00
RV000046,BK100084,2025-06-10,5.0,Positive,,Post-stay survey,2025-06-10 12:00:00
RV000047,BK100086,2025-06-07,4.6,Positive,,Traveloka,2025-06-07 12:00:00
RV000048,BK100087,2025-06-07,4.1,Neutral,Breakfast queue,Traveloka,2025-06-07 12:00:00
RV000049,BK100089,2025-06-06,4.5,Positive,,Post-stay survey,2025-06-06 12:00:00
RV000050,BK100094,2025-06-07,4.7,Positive,,Agoda,2025-06-07 12:00:00
RV000051,BK100095,2025-06-10,4.9,Positive,,Post-stay survey,2025-06-10 12:00:00
RV000052,BK100097,2025-06-08,4.7,Positive,,Post-stay survey,2025-06-08 12:00:00
RV000053,BK100099,2025-06-10,4.3,Neutral,Room view expectation,Agoda,2025-06-10 12:00:00
RV000054,BK100102,2025-06-08,4.4,Neutral,,Post-stay survey,2025-06-08 12:00:00
RV000055,BK100105,2025-06-08,4.4,Neutral,Breakfast queue,Traveloka,2025-06-08 12:00:00
