room_revenue_id,date_key,stay_date,room_type_id,channel_id,segment_id,promotion_id,rooms_sold,listed_room_revenue,gross_room_revenue,commission_amount,promotion_cost,breakfast_cost,housekeeping_cost,utilities_cost,room_amenity_cost,net_room_revenue,direct_variable_cost,room_contribution_profit,created_at
1,20250601,2025-06-01,1,1,1,0,2,3280000,3280000,590400,0,460000,366400,425600,216000,2689600,1468000,1221600,2025-06-01 02:30:00
2,20250601,2025-06-01,1,1,2,2,1,1700000,1490000,268200,147000,230000,183200,212800,108000,1221800,881000,340800,2025-06-01 02:30:00
3,20250601,2025-06-01,1,1,3,2,1,1640000,1440000,259200,140000,230000,183200,212800,108000,1180800,874000,306800,2025-06-01 02:30:00
4,20250601,2025-06-01,1,1,7,0,1,1580000,1580000,284400,0,230000,183200,212800,108000,1295600,734000,561600,2025-06-01 02:30:00
5,20250601,2025-06-01,1,1,9,0,2,3090000,3090000,556200,0,460000,366400,425600,216000,2533800,1468000,1065800,2025-06-01 02:30:00
6,20250601,2025-06-01,1,2,1,0,2,3310000,3310000,662000,0,460000,366400,425600,216000,2648000,1468000,1180000,2025-06-01 02:30:00
7,20250601,2025-06-01,1,2,1,2,1,1710000,1510000,302000,140000,230000,183200,212800,108000,1208000,874000,334000,2025-06-01 02:30:00
8,20250601,2025-06-01,1,2,2,2,1,1620000,1420000,284000,140000,230000,183200,212800,108000,1136000,874000,262000,2025-06-01 02:30:00
9,20250601,2025-06-01,1,2,3,0,1,1590000,1590000,318000,0,230000,183200,212800,108000,1272000,734000,538000,2025-06-01 02:30:00
10,20250601,2025-06-01,1,2,5,0,2,3280000,3280000,656000,0,460000,366400,425600,216000,2624000,1468000,1156000,2025-06-01 02:30:00
11,20250601,2025-06-01,1,2,5,2,1,1690000,1490000,298000,140000,230000,183200,212800,108000,1192000,874000,318000,2025-06-01 02:30:00
12,20250601,2025-06-01,1,2,5,4,1,1630000,1470000,294000,160000,230000,183200,212800,108000,1176000,894000,282000,2025-06-01 02:30:00
13,20250601,2025-06-01,1,2,6,0,1,1630000,1630000,326000,0,230000,183200,212800,108000,1304000,734000,570000,2025-06-01 02:30:00
14,20250601,2025-06-01,1,2,6,2,2,3210000,2830000,566000,266000,460000,366400,425600,216000,2264000,1734000,530000,2025-06-01 02:30:00
15,20250601,2025-06-01,1,2,6,4,2,3190000,2880000,576000,310000,460000,366400,425600,216000,2304000,1778000,526000,2025-06-01 02:30:00
16,20250601,2025-06-01,1,2,7,4,1,1670000,1500000,300000,170000,230000,183200,212800,108000,1200000,904000,296000,2025-06-01 02:30:00
17,20250601,2025-06-01,1,2,8,0,1,1680000,1680000,336000,0,115000,183200,212800,80000,1344000,591000,753000,2025-06-01 02:30:00
18,20250601,2025-06-01,1,3,1,0,1,1700000,1700000,255000,0,230000,183200,212800,108000,1445000,734000,711000,2025-06-01 02:30:00
19,20250601,2025-06-01,1,3,1,2,2,3350000,2940000,441000,287000,460000,366400,425600,216000,2499000,1755000,744000,2025-06-01 02:30:00
20,20250601,2025-06-01,1,3,2,0,2,3240000,3240000,486000,0,460000,366400,425600,216000,2754000,1468000,1286000,2025-06-01 02:30:00
21,20250601,2025-06-01,1,3,2,4,1,1640000,1480000,222000,160000,230000,183200,212800,108000,1258000,894000,364000,2025-06-01 02:30:00
22,20250601,2025-06-01,1,3,3,2,2,3290000,2890000,433500,280000,460000,366400,425600,216000,2456500,1748000,708500,2025-06-01 02:30:00
23,20250601,2025-06-01,1,3,6,2,1,1600000,1410000,211500,133000,230000,183200,212800,108000,1198500,867000,331500,2025-06-01 02:30:00
24,20250601,2025-06-01,1,3,7,0,1,1610000,1610000,241500,0,230000,183200,212800,108000,1368500,734000,634500,2025-06-01 02:30:00
25,20250601,2025-06-01,1,3,9,0,1,1670000,1670000,250500,0,230000,183200,212800,108000,1419500,734000,685500,2025-06-01 02:30:00
26,20250601,2025-06-01,1,4,1,2,1,1660000,1460000,248200,140000,230000,183200,212800,108000,1211800,874000,337800,2025-06-01 02:30:00
27,20250601,2025-06-01,1,4,2,0,1,1670000,1670000,283900,0,230000,183200,212800,108000,1386100,734000,652100,2025-06-01 02:30:00
28,20250601,2025-06-01,1,4,2,2,1,1650000,1450000,246500,140000,230000,183200,212800,108000,1203500,874000,329500,2025-06-01 02:30:00
29,20250601,2025-06-01,1,4,3,0,1,1530000,1530000,260100,0,230000,183200,212800,108000,1269900,734000,535900,2025-06-01 02:30:00
30,20250601,2025-06-01,1,4,5,2,2,3220000,2840000,482800,266000,460000,366400,425600,216000,2357200,1734000,623200,2025-06-01 02:30:00
31,20250601,2025-06-01,1,4,9,2,1,1590000,1400000,238000,133000,230000,183200,212800,108000,1162000,867000,295000,2025-06-01 02:30:00
32,20250601,2025-06-01,1,5,1,1,1,1570000,1440000,0,130000,230000,183200,212800,108000,1440000,864000,576000,2025-06-01 02:30:00
33,20250601,2025-06-01,1,5,2,0,1,1570000,1570000,0,0,230000,183200,212800,108000,1570000,734000,836000,2025-06-01 02:30:00
34,20250601,2025-06-01,1,5,2,3,2,3230000,3070000,0,160000,460000,366400,425600,216000,3070000,1628000,1442000,2025-06-01 02:30:00
35,20250601,2025-06-01,1,5,3,4,1,1600000,1440000,0,160000,230000,183200,212800,108000,1440000,894000,546000,2025-06-01 02:30:00
36,20250601,2025-06-01,1,5,5,0,1,1600000,1600000,0,0,230000,183200,212800,108000,1600000,734000,866000,2025-06-01 02:30:00
37,20250601,2025-06-01,1,5,9,0,1,1580000,1580000,0,0,230000,183200,212800,108000,1580000,734000,846000,2025-06-01 02:30:00
38,20250601,2025-06-01,1,7,1,5,1,1360000,1270000,127000,90000,0,183200,212800,108000,1143000,594000,549000,2025-06-01 02:30:00
39,20250601,2025-06-01,1,7,6,4,1,1430000,1290000,129000,140000,0,183200,212800,108000,1161000,644000,517000,2025-06-01 02:30:00
40,20250601,2025-06-01,1,7,7,0,1,1460000,1460000,146000,0,0,183200,212800,108000,1314000,504000,810000,2025-06-01 02:30:00
41,20250601,2025-06-01,1,7,9,5,1,1410000,1310000,131000,100000,0,183200,212800,108000,1179000,604000,575000,2025-06-01 02:30:00
42,20250601,2025-06-01,2,1,1,0,3,6210000,6210000,1117800,0,690000,561000,654000,324000,5092200,2229000,2863200,2025-06-01 02:30:00
43,20250601,2025-06-01,2,1,1,2,2,4130000,3630000,653400,350000,460000,374000,436000,216000,2976600,1836000,1140600,2025-06-01 02:30:00
44,20250601,2025-06-01,2,1,2,0,3,6170000,6170000,1110600,0,690000,561000,654000,324000,5059400,2229000,2830400,2025-06-01 02:30:00
45,20250601,2025-06-01,2,1,5,0,1,1920000,1920000,345600,0,230000,187000,218000,108000,1574400,743000,831400,2025-06-01 02:30:00
46,20250601,2025-06-01,2,1,7,0,1,2030000,2030000,365400,0,230000,187000,218000,108000,1664600,743000,921600,2025-06-01 02:30:00
47,20250601,2025-06-01,2,1,7,2,1,2060000,1810000,325800,175000,230000,187000,218000,108000,1484200,918000,566200,2025-06-01 02:30:00
48,20250601,2025-06-01,2,1,8,0,1,1970000,1970000,354600,0,115000,187000,218000,80000,1615400,600000,1015400,2025-06-01 02:30:00
49,20250601,2025-06-01,2,1,9,4,1,2070000,1870000,336600,200000,230000,187000,218000,108000,1533400,943000,590400,2025-06-01 02:30:00
50,20250601,2025-06-01,2,2,1,0,1,2010000,2010000,402000,0,230000,187000,218000,108000,1608000,743000,865000,2025-06-01 02:30:00
51,20250601,2025-06-01,2,2,2,3,2,3920000,3730000,746000,190000,460000,374000,436000,216000,2984000,1676000,1308000,2025-06-01 02:30:00
52,20250601,2025-06-01,2,2,4,2,1,2220000,1960000,392000,182000,115000,187000,218000,80000,1568000,782000,786000,2025-06-01 02:30:00
53,20250601,2025-06-01,2,2,5,0,2,3840000,3840000,768000,0,460000,374000,436000,216000,3072000,1486000,1586000,2025-06-01 02:30:00
54,20250601,2025-06-01,2,2,5,2,1,1970000,1730000,346000,168000,230000,187000,218000,108000,1384000,911000,473000,2025-06-01 02:30:00
55,20250601,2025-06-01,2,2,6,2,2,3970000,3500000,700000,329000,460000,374000,436000,216000,2800000,1815000,985000,2025-06-01 02:30:00
56,20250601,2025-06-01,2,2,7,0,1,1960000,1960000,392000,0,230000,187000,218000,108000,1568000,743000,825000,2025-06-01 02:30:00
57,20250601,2025-06-01,2,3,1,0,1,2070000,2070000,310500,0,230000,187000,218000,108000,1759500,743000,1016500,2025-06-01 02:30:00
58,20250601,2025-06-01,2,3,2,0,1,2000000,2000000,300000,0,230000,187000,218000,108000,1700000,743000,957000,2025-06-01 02:30:00
59,20250601,2025-06-01,2,3,2,3,1,2010000,1910000,286500,100000,230000,187000,218000,108000,1623500,843000,780500,2025-06-01 02:30:00
60,20250601,2025-06-01,2,3,5,0,1,2020000,2020000,303000,0,230000,187000,218000,108000,1717000,743000,974000,2025-06-01 02:30:00
61,20250601,2025-06-01,2,3,5,2,1,2020000,1780000,267000,168000,230000,187000,218000,108000,1513000,911000,602000,2025-06-01 02:30:00
62,20250601,2025-06-01,2,3,6,0,1,2120000,2120000,318000,0,230000,187000,218000,108000,1802000,743000,1059000,2025-06-01 02:30:00
63,20250601,2025-06-01,2,3,9,2,1,2010000,1770000,265500,168000,230000,187000,218000,108000,1504500,911000,593500,2025-06-01 02:30:00
64,20250601,2025-06-01,2,4,2,0,1,2130000,2130000,362100,0,230000,187000,218000,108000,1767900,743000,1024900,2025-06-01 02:30:00
65,20250601,2025-06-01,2,5,1,1,1,1860000,1710000,0,150000,230000,187000,218000,108000,1710000,893000,817000,2025-06-01 02:30:00
66,20250601,2025-06-01,2,5,2,0,1,1960000,1960000,0,0,230000,187000,218000,108000,1960000,743000,1217000,2025-06-01 02:30:00
67,20250601,2025-06-01,2,5,2,1,2,3990000,3680000,0,310000,460000,374000,436000,216000,3680000,1796000,1884000,2025-06-01 02:30:00
68,20250601,2025-06-01,2,5,3,0,2,4000000,4000000,0,0,460000,374000,436000,216000,4000000,1486000,2514000,2025-06-01 02:30:00
69,20250601,2025-06-01,2,5,3,4,1,2020000,1820000,0,200000,230000,187000,218000,108000,1820000,943000,877000,2025-06-01 02:30:00
70,20250601,2025-06-01,2,5,4,0,1,2020000,2020000,0,0,115000,187000,218000,80000,2020000,600000,1420000,2025-06-01 02:30:00
71,20250601,2025-06-01,2,5,5,0,1,1860000,1860000,0,0,230000,187000,218000,108000,1860000,743000,1117000,2025-06-01 02:30:00
72,20250601,2025-06-01,2,5,6,0,1,1880000,1880000,0,0,230000,187000,218000,108000,1880000,743000,1137000,2025-06-01 02:30:00
73,20250601,2025-06-01,2,5,6,1,1,2020000,1850000,0,170000,230000,187000,218000,108000,1850000,913000,937000,2025-06-01 02:30:00
74,20250601,2025-06-01,2,6,2,0,1,1960000,1960000,0,0,230000,187000,218000,108000,1960000,743000,1217000,2025-06-01 02:30:00
75,20250601,2025-06-01,2,7,1,5,1,1700000,1580000,158000,120000,0,187000,218000,108000,1422000,633000,789000,2025-06-01 02:30:00
76,20250601,2025-06-01,2,7,2,3,1,1790000,1700000,170000,90000,230000,187000,218000,108000,1530000,833000,697000,2025-06-01 02:30:00
77,20250601,2025-06-01,2,7,3,4,2,3600000,3240000,324000,360000,0,374000,436000,216000,2916000,1386000,1530000,2025-06-01 02:30:00
78,20250601,2025-06-01,2,7,3,5,1,1800000,1670000,167000,130000,0,187000,218000,108000,1503000,643000,860000,2025-06-01 02:30:00
79,20250601,2025-06-01,2,7,9,0,1,1770000,1770000,177000,0,0,187000,218000,108000,1593000,513000,1080000,2025-06-01 02:30:00
80,20250601,2025-06-01,3,1,1,0,1,2660000,2660000,478800,0,230000,190800,223200,108000,2181200,752000,1429200,2025-06-01 02:30:00
81,20250601,2025-06-01,3,1,3,0,1,2640000,2640000,475200,0,345000,190800,223200,136000,2164800,895000,1269800,2025-06-01 02:30:00
82,20250601,2025-06-01,3,1,5,2,1,2630000,2310000,415800,224000,230000,190800,223200,108000,1894200,976000,918200,2025-06-01 02:30:00
83,20250601,2025-06-01,3,2,1,2,1,2530000,2230000,446000,210000,230000,190800,223200,108000,1784000,962000,822000,2025-06-01 02:30:00
84,20250601,2025-06-01,3,2,2,0,1,2520000,2520000,504000,0,305000,190800,223200,136000,2016000,855000,1161000,2025-06-01 02:30:00
85,20250601,2025-06-01,3,2,5,0,2,5040000,5040000,1008000,0,460000,381600,446400,216000,4032000,1504000,2528000,2025-06-01 02:30:00
86,20250601,2025-06-01,3,2,6,2,2,4850000,4270000,854000,406000,690000,381600,446400,272000,3416000,2196000,1220000,2025-06-01 02:30:00
87,20250601,2025-06-01,3,2,7,4,1,2650000,2390000,478000,260000,230000,190800,223200,108000,1912000,1012000,900000,2025-06-01 02:30:00
88,20250601,2025-06-01,3,2,9,0,1,2540000,2540000,508000,0,230000,190800,223200,108000,2032000,752000,1280000,2025-06-01 02:30:00
89,20250601,2025-06-01,3,3,1,2,1,2620000,2310000,346500,217000,230000,190800,223200,108000,1963500,969000,994500,2025-06-01 02:30:00
90,20250601,2025-06-01,3,3,2,2,1,2570000,2260000,339000,217000,305000,190800,223200,136000,1921000,1072000,849000,2025-06-01 02:30:00
91,20250601,2025-06-01,3,3,6,4,1,2430000,2190000,328500,240000,345000,190800,223200,136000,1861500,1135000,726500,2025-06-01 02:30:00
92,20250601,2025-06-01,3,5,2,0,2,4940000,4940000,0,0,610000,381600,446400,272000,4940000,1710000,3230000,2025-06-01 02:30:00
93,20250601,2025-06-01,3,5,2,1,1,2430000,2240000,0,190000,305000,190800,223200,136000,2240000,1045000,1195000,2025-06-01 02:30:00
94,20250601,2025-06-01,3,5,2,3,2,4920000,4670000,0,250000,610000,381600,446400,272000,4670000,1960000,2710000,2025-06-01 02:30:00
95,20250601,2025-06-01,3,5,5,0,1,2320000,2320000,0,0,230000,190800,223200,108000,2320000,752000,1568000,2025-06-01 02:30:00
96,20250601,2025-06-01,3,5,7,0,1,2420000,2420000,0,0,230000,190800,223200,108000,2420000,752000,1668000,2025-06-01 02:30:00
97,20250601,2025-06-01,3,6,6,0,1,2450000,2450000,0,0,345000,190800,223200,136000,2450000,895000,1555000,2025-06-01 02:30:00
98,20250601,2025-06-01,3,7,1,0,1,2200000,2200000,220000,0,0,190800,223200,108000,1980000,522000,1458000,2025-06-01 02:30:00
99,20250601,2025-06-01,3,7,2,0,1,2200000,2200000,220000,0,0,190800,223200,136000,1980000,550000,1430000,2025-06-01 02:30:00
100,20250601,2025-06-01,3,7,3,5,1,2200000,2050000,205000,150000,0,190800,223200,136000,1845000,700000,1145000,2025-06-01 02:30:00
101,20250601,2025-06-01,4,1,1,2,2,5680000,5000000,900000,476000,460000,374000,436000,266000,4100000,2012000,2088000,2025-06-01 02:30:00
